Common.name,Scientific_name,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Endo_ectotherm,Adult_mass_grams,Lifespan_years,Average_Telomere_Length_kb,Telomerase_activity,Tissue type for TA,Source for TA,Tissue type for TL,Tissue_coded,Methodology for TL,method,Source for TL,Source for Lifespan,Source for Mass,Captivity,Notes
Barn swallow ,Hirundo_rustica,Eukaryota,Metazoa,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,endo,18.3,16,8.7,NA,NA,NA,Blood,A,TRF (combination),A,Caprioli 2012; Foote et al. 2013; Tricola et al. 2018; Criscuolo et al. 2021,AnAge,AnAge,0,
Northern goshawks ,Accipiter_gentilis,Eukaryota,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,endo,1044,22,1.3,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
Orange-winged Amazon parrot ,Amazona_amazonica,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,amazonica,endo,370,30,11.8,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
Red tail hawk  ,Buteo_jamaicensis,Eukaryota,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,endo,1362,30.7,13.3,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000,AnAge,AnAge,0,
Swainson's hawk ,Buteo_swainsoni,Eukaryota,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,endo,980.64,24.9,42.4,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
Golden pheasant ,Chrysolophus_pictus,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Chrysolophus,pictus,endo,625,13.4,3.2,NA,NA,NA,Blood,A,TRF (denatured),B,Delaney et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
Masked bobwhite quail,Colinus_virginianus,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Odontophoridae,Colinus,virginianus,endo,194,6.4,23.4,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
European seabass,Dicentrarchus_labrax,Eukaryota,Metazoa,Chordata,Fish,Moroniformes,Moronidae,Dicentrarchus,labrax,ecto,6600,15,3.44,NA,NA,NA,Blood,A,TRF (denatured),B,Horn et al. 2008; Izzo 2010,AnAge,AnAge,0,
Wandering albatross ,Diomedea_exulans,Eukaryota,Metazoa,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,exulans,endo,7047,50,9.9,NA,NA,NA,Blood,A,TRF (denatured),B,Hall et al. 2004,AnAge,AnAge,0,
American kestrel  ,Falco_sparverius,Eukaryota,Metazoa,Chordata,Aves,Falconiformes,Falconidae,Falco,sparverius,endo,117,17,30.2,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
American bald eagle ,Haliaeetus_leucocephalus,Eukaryota,Metazoa,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,endo,3175,48,2.1,NA,NA,NA,Blood,A,TRF (denatured),B,Delaney et al. 2000; Criscuolo et al. 2021,AnAge,AnAge,0,
Southern Giant Petrel ,Macronectes_giganteus,Eukaryota,Metazoa,Chordata,Aves,Procellariiformes,Procellaridae,Macronectes,giganteus,endo,3698,47,8.65,NA,NA,NA,Blood,A,TRF (denatured),B,Foote et al. 2009,AnAge,AnAge,0,
Northern Giant petrel ,Macronectes_halli,Eukaryota,Metazoa,Chordata,Aves,Procellariiformes,Procellaridae,Macronectes,halli,endo,4313,35.4,8.78,NA,NA,NA,Blood,A,TRF (denatured),B,Foote et al. 2009,AnAge,AnAge,0,
Wild turkey  ,Meleagris_gallopavo,Eukaryota,Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,endo,6050,13,13.9,NA,NA,NA,Blood,A,TRF (denatured),B,Delany et al. 2000,AnAge,AnAge,0,
Black-legged kittiwake,Rissa_tridactyla,Eukaryota,Metazoa,Chordata,Aves,Charadriiformes,Laridae,Rissa,tridactyla,endo,317,28.5,9.805,NA,NA,NA,Blood,A,TRF (denatured),B,Blévin et al. 2017,AnAge,AnAge,0,
kakapo ,Strigops_habroptila,Eukaryota,Metazoa,Chordata,Aves,Psittaciformes,Strigopidae,Strigops,habroptila,endo,1750,60,15.64,NA,NA,NA,Blood,A,TRF (denatured),B,Horn et al. 2011,AnAge,AnAge,0,
Alpine swift ,Tachymarptis_melba,Eukaryota,Metazoa,Chordata,Aves,Apodiformes,Apodidae,Tachymarptis,melba,endo,102.7,26,18.783,NA,NA,NA,Blood,A,TRF (denatured),B,Criscuolo et al. 2009; Criscuolo et al. 2021,AnAge,AnAge,0,
Skipjack trevally,Pseudocaranx_wrighti,Eukaryota,Metazoa,Chordata,Fish,Carangiformes,Carangidae,Pseudocaranx,wrighti,ecto,3000,18,4.06,NA,NA,NA,Muscle,F,TRF (denatured),B,Izzo 2010,Australian fisheries stock report,Marinewise,0,
Common carp,Cyprinus_carpio,Eukaryota,Metazoa,Chordata,Fish,Cypriniformes,Cyprinidae,Cyprinus,carpio,ecto,10600,47,4.62,NA,NA,NA,Muscle,F,TRF (denatured),B,Izzo 2010,AnAge,AnAge,0,
Mangrove red snapper,Lutjanus_argentimaculatus,Eukaryota,Metazoa,Chordata,Fish,Perciformes,Lutjanidae,Lutjanus,argentimaculatus,ecto,4785,18,5.26,NA,NA,NA,Blood,A,TRF (denatured),B,Izzo 2010,AnAge,AnAge,0,
Southern goatfish,Upeneichthys_vlamingii,Eukaryota,Metazoa,Chordata,Fish,Perciformes,Mullidae,Upeneichthys,vlamingii,ecto,1500,10,5.48,NA,NA,NA,Blood,A,TRF (denatured),B,Izzo 2010,Izzo 2010,Marinewise,0,Weight an estimate based on total length
Blackhead seabream,Acanthopagrus_schlegelii,Eukaryota,Metazoa,Chordata,Fish,Perciformes,Sparidae,Acanthopagrus,schlegeli,ecto,3200,9,5.56,NA,NA,NA,Blood,A,TRF (denatured),B,Tsui 2005; Izzo 2010,Law and de Mitcheson 2018,IGFA; Fishbase,0,
Golden perch,Macquaria_ambigua,Eukaryota,Metazoa,Chordata,Fish,Perciformes,Percichthyidae,Macquaria,ambigua,ecto,13200,20,6.14,NA,NA,NA,Blood,A,TRF (denatured),B,Izzo 2010,AnAge,AnAge,0,
African killifish,Nothobranchius_furzeri,Eukaryota,Metazoa,Chordata,Fish,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,furzeri,ecto,2,1.1,6.61,1,Various tissues,Hartmann et al. 2009,Multiple somatic tissues (Muscle and skin),G,TRF (denatured),B,Hartmann et al. 2009; Izzo 2010,AnAge,Pola?ik and Reichard 2010,0,
Bluefin Notho,Nothobranchius_rachovii,Eukaryota,Metazoa,Chordata,Fish,Cyprinodontiformes,Nothobranchiidae,Nothobranchius,rachovii,ecto,1.3,1.5,6.56,NA,NA,NA,Gill,C,TRF (denatured),B,Hsu et al. 2008,AnAge,Pola?ik and Reichard 2010,0,"Given the relatively short lifespan of this species, average telomere length was calculated from individuals 4 months of age"
Atlantic cod,Gadus_morhua,Eukaryota,Metazoa,Chordata,Fish,Gadiformes,Gadidae,Gadus,morhua,ecto,52800,25,11.07,1,Multiple somatic tissues,de Abechuco et al. 2014,"Multiple somatic tissues (Brain, liver, muscle, skin)",E,TRF (denatured),B,de Abechuco et al. 2016,AnAge,AnAge,0,TL calculated as the mean value across all TL measurements from adults
Southern sand flathead,Platycephalus_bassensis,Eukaryota,Metazoa,Chordata,Fish,Scorpaeniformes,Platycephalidae,Platycephalus,bassensis,ecto,3100,23,12.19,NA,NA,NA,Blood,A,TRF (denatured),B,Izzo 2010,Koopman and Morison 2002,Kailola et al. 1993; Fishbase,0,
Rainbow trout,Oncorhynchus_mykiss,Eukaryota,Metazoa,Chordata,Fish,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,ecto,12235,11,20,NA,Multiple tissues,Panasiak et al. 2023,Blood,A,TRF (denatured),B,Lejnine et al. 1995,AnAge,AnAge,0,
Australian lungfish,Neoceratodus_forsteri,Eukaryota,Metazoa,Chordata,Fish,Ceratodontiformes,Neoceratodontidae,Neoceratodus,forsteri,ecto,40000,85,24.22,NA,NA,NA,Muscle,F,TRF (denatured),B,Izzo 2010,AnAge,Allen 1989; Fishbase,0,
Sparsely spotted stingaree,Urolophus_paucimaculatus,Eukaryota,Metazoa,Chordata,Fish,Myliobatiformes,Urolophidae,Urolophus,paucimaculatus,ecto,1041,12,24.39,NA,NA,NA,Muscle,F,TRF (denatured),B,Izzo 2010,AnAge,Trinne et al. 2014,0,Body mass calculated as the average of the maximum mass across 4 locations from Trinne et al. 2014
Australian ghost shark,Callorhinchus_milii,Eukaryota,Metazoa,Chordata,Fish,Chimaeriformes,Callorhinchidae,Callorhinchus,milii,ecto,3150,6,24.59,NA,NA,NA,Muscle,F,TRF (denatured),B,Izzo 2010,AnAge,Hyodo et al. 2008,0,Body mass taken as the highest recorded weight from Hoyodo et al. 2008 as it falls within the average range of 3-4 kg from other sources (University of Michigan Museum of Zoology: animaldiversity.org)
Mongolian Gerbil,Meriones_unguiculatus,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Meriones,unguiculatus,endo,53.2,6.3,16.7439,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,29
Chincilla,Chinchilla_lanigera,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Chinchillidae,Chinchilla,lanigera,endo,642.5,17.2,22.6992,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,38
Muskrat,Ondatra_zibethicus,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,zibethicus,endo,1362,10,27.3311,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,Nowak 1991,AnAge,0,45
Golden hamster,Mesocricetus_auratus,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,auratus,endo,105,3.9,30.6396,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,50
Nutria,Myocastor_coypus,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,coypus,endo,7850,19,33.2864,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,54
Woodchuck,Marmota_monax,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,marmota,monax,endo,4000,14,37.2566,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,60
Eastern American chipmunk,Tamias_striatus,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,striatus,endo,96,9.5,39.2417,1,Multiple somatic tissues,Seluanov et al. 2007,Multiple somatic tissues,E,TRF (denatured),B,Seluanov et al. 2007,AnAge,AnAge,0,63
Sea lion,Zalophus_californianus,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Otariidae,Zalophus,californianus,endo,180000,35.7,5,0,Fibroblasts,Gomes et al. 2011,Cell culture (Fibroblasts),B,TRF (denatured),B,Gomes et al. 2011,AnAge,AnAge,0,
