Loxodonta africana
Nothobranchius furzeri
Atelerix albiventris
Haliaeetus leucocephalus
Falco sparverius
Gadus morhua
Callorhinchus milii
Neoceratodus forsteri
Thalassarche melanophrys
Rissa tridactyla
Acanthopagrus schlegelii
Larus crassirostris
Lepus californicus
Nothobranchius rachovii
Pan paniscus
Tursiops truncatus
Balaena mysticetus
Hydrochoerus hydrochaeris
Pan troglodytes
Chinchilla lanigera
Alligator sinensis
Cyprinus carpio
Zootoca vivipara
Saimiri sciureus
Macaca fascicularis
Camelus dromedarius
Tamias striatus
Sciurus carolinensis
Emys orbicularis
Dicentrarchus labrax
Phalacrocorax aristotelis
Oryctolagus cuniculus
Pteropus rodricensis
Myrmecophaga tridactyla
Giraffa camelopardalis
Mesocricetus auratus
Macquaria ambigua
Chrysolophus pictus
Carassius auratus
Gorilla gorilla
Setifer setosus
Grus antigone
Xiphophorus hellerii
Eschrichtius robustus
Homo sapiens
Elephas maximus
Strigops habroptila
Tupaia tana
Larus fuscus
Myotis lucifugus
Galegeeska rufescens
Tapirus indicus
Lutjanus argentimaculatus
Colinus virginianus
Tadarida brasiliensis
Meriones unguiculatus
Aplodontia rufa
Ondatra zibethicus
Heterocephalus glaber
Castor canadensis
Ochotona princeps
Macronectes halli
Accipiter gentilis
Myocastor coypus
Amazona amazonica
Pongo pygmaeus
Macaca nemestrina
Ursus maritimus
Choeropsis liberiensis
Oncorhynchus mykiss
Ailurus fulgens
Buteo jamaicensis
Muntiacus reevesi
Macaca mulatta
Lemur catta
Procavia capensis
Macroscelides proboscideus
Chaetophractus vellerosus
Zalophus californianus
Pseudocaranx wrighti
Peromyscus maniculatus
Macronectes giganteus
Upeneichthys vlamingii
Xiphophorus maculatus
Muntiacus muntjak
Platycephalus bassensis
Urolophus paucimaculatus
Ateles geoffroyi
Crocuta crocuta
Buteo swainsoni
Sylvilagus aquaticus
Panthera tigris
Choloepus hoffmanni
Didelphis virginiana
Diomedea exulans
Liasis fuscus
Ceratotherium simum
Meleagris gallopavo
Marmota monax
Trachemys scripta
Equus grevyi
Danio rerio
Gallus gallus
Bos taurus
Canis lupus
Equus caballus
Mus musculus
Felis catus
Sus scrofa
Ovis aries
Pygoscelis adeliae
Tachymarptis melba
Alligator mississippiensis
Hirundo rustica
Branta leucopsis
Cepphus grylle
Turdus merula
Sterna hirundo
Calonectris diomedea
Calidris alpina
Haematopus ostralegus
Aphelocoma coerulescens
Erythrura gouldiae
Fregata minor
Parus major
Corvus monedula
Oceanodroma leucorhoa
Tachycineta albilinea
Fulmarus glacialis
Vireo olivaceus
Sula sula
Philomachus pugnax
Lacerta agilis
Riparia riparia
Passerculus sandwichensis
Uria lomvia
Aphelocoma ultramarina
Tachycineta bicolor
Lonchura striata
Taeniopygia guttata
